# Blackjack High-Low Simulation Results with Custom Bet Spread
# Deck Count: 1
# Penetration: nopenetration
"# Total Shoes: 100,000"
"# Total Hands: 339,119"
"# Bet Spread: TC<=0=$0, TC1=$5, TC2=$10, TC3=$15, TC4=$25, TC5+=$25"
# Generated: 2025-05-26 04:05:15

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,0,0.000000,0.000000,0.00,0.00
-9,0,0.000000,0.000000,0.00,0.00
-8,0,0.000000,0.000000,0.00,0.00
-7,0,0.000000,0.000000,0.00,0.00
-6,0,0.000000,0.000000,0.00,0.00
-5,0,0.000000,0.000000,0.00,0.00
-4,0,0.000000,0.000000,0.00,0.00
-3,0,0.000000,0.000000,0.00,0.00
-2,0,0.000000,0.000000,0.00,0.00
-1,0,0.000000,0.000000,0.00,0.00
0,0,0.000000,0.000000,0.00,0.00
1,52831,15.578897,-0.001990,-575.00,288990.00
2,58878,17.362047,-0.006693,-4290.00,640950.00
3,47467,13.997151,0.002185,1687.50,772320.00
4,38038,11.216712,0.003372,3462.50,1026975.00
5,30221,8.911621,0.007417,6025.00,812375.00
6,21597,6.368561,0.017689,10250.00,579450.00
7,15635,4.610476,0.016588,6950.00,418975.00
8,11522,3.397627,0.028006,8612.50,307525.00
9,13738,4.051085,0.017400,6350.00,364950.00
10,11503,3.392025,0.042649,13025.00,305400.00
