# Blackjack High-Low Simulation Results with Custom Bet Spread
# Deck Count: 6
# Penetration: 1penetration
"# Total Shoes: 100,000"
"# Total Hands: 241,404"
"# Bet Spread: TC<=0=$0, TC1=$5, TC2=$10, TC3=$15, TC4=$25, TC5+=$25"
# Generated: 2025-05-27 02:16:09

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,0,0.000000,0.000000,0.00,0.00
-9,0,0.000000,0.000000,0.00,0.00
-8,0,0.000000,0.000000,0.00,0.00
-7,0,0.000000,0.000000,0.00,0.00
-6,0,0.000000,0.000000,0.00,0.00
-5,0,0.000000,0.000000,0.00,0.00
-4,0,0.000000,0.000000,0.00,0.00
-3,0,0.000000,0.000000,0.00,0.00
-2,0,0.000000,0.000000,0.00,0.00
-1,0,0.000000,0.000000,0.00,0.00
0,0,0.000000,0.000000,0.00,0.00
1,211595,87.651820,-0.018278,-21792.50,1192300.00
2,27233,11.281089,-0.013415,-4115.00,306740.00
3,2438,1.009925,-0.019704,-817.50,41490.00
4,136,0.056337,0.093548,362.50,3875.00
5,2,0.000828,0.000000,0.00,50.00
6,0,0.000000,0.000000,0.00,0.00
7,0,0.000000,0.000000,0.00,0.00
8,0,0.000000,0.000000,0.00,0.00
9,0,0.000000,0.000000,0.00,0.00
10,0,0.000000,0.000000,0.00,0.00
