True Count,1 Decks,2 Decks,3 Decks,4 Decks,6 Decks,8 Decks
-10,1.254902,0.639988,0.411321,0.276264,0.163262,0.110406
-9,1.461626,0.900621,0.584373,0.415227,0.236377,0.153733
-8,1.556502,1.047293,0.793078,0.574259,0.347096,0.231971
-7,2.051749,1.461982,1.070224,0.809925,0.553283,0.374633
-6,3.283961,2.432615,1.804411,1.351491,0.945200,0.689207
-5,3.932899,3.137753,2.620095,2.089466,1.564631,1.200846
-4,4.853032,4.479428,3.992975,3.475435,2.776950,2.247042
-3,6.384682,6.155779,6.098515,5.645669,4.943973,4.356827
-2,7.557783,8.987360,9.301653,9.245153,9.142856,8.650903
-1,7.283093,14.287463,13.895049,16.017021,17.032256,17.403511
0,18.584953,12.300930,19.603692,20.339665,25.303956,29.054816
1,7.744593,14.328984,13.466965,16.155611,16.736260,17.664609
2,7.880503,9.400150,9.233784,9.161926,8.926462,8.587260
3,6.498282,6.260367,5.762396,5.545039,4.874424,4.300627
4,4.855763,4.564457,3.947991,3.431584,2.711330,2.258263
5,4.090583,3.013160,2.604553,2.051888,1.531072,1.163548
6,3.585026,2.492717,1.843871,1.395581,0.948474,0.678221
7,2.476882,1.474824,1.127441,0.809827,0.541400,0.376553
8,1.632758,1.094360,0.812388,0.547566,0.339616,0.238320
9,1.654264,0.843447,0.593554,0.389635,0.221857,0.158297
10,1.376162,0.696320,0.431672,0.271766,0.159266,0.100406
