True Count,7.75 Pen,7.5 Pen,7.25 Pen,7.0 Pen,6.75 Pen,6.5 Pen,6.25 Pen,6.0 Pen,5.75 Pen,5.5 Pen,5.25 Pen,5.0 Pen,4.75 Pen,4.5 Pen,4.25 Pen,4.0 Pen,3.75 Pen,3.5 Pen,3.25 Pen,3.0 Pen,2.75 Pen,2.5 Pen,2.25 Pen,2.0 Pen,1.75 Pen,1.5 Pen,1.25 Pen,1.0 Pen,0.75 Pen,0.5 Pen,0 Pen
-10,0.830000,0.960000,0.320000,0.380000,0.470000,0.320000,0.100000,0.050000,0.685000,0.425000,0.485000,0.365000,0.295000,0.065000,0.020000,0.000000,1.295000,0.605000,0.525000,0.320000,1.300000,1.035000,0.460000,0.165000,1.570000,1.010000,0.910000,0.240000,4.070000,1.630000,2.483333
-9,0.300000,0.290000,0.260000,0.220000,0.250000,0.140000,0.160000,0.080000,0.180000,0.245000,0.305000,0.130000,0.120000,0.075000,0.015000,0.030000,0.335000,0.375000,0.365000,0.215000,0.435000,0.575000,0.220000,0.150000,0.370000,0.370000,0.750000,0.300000,0.610000,0.710000,0.568333
-8,0.620000,0.440000,0.410000,0.380000,0.510000,0.450000,0.190000,0.130000,0.545000,0.420000,0.445000,0.235000,0.250000,0.130000,0.080000,0.055000,0.560000,0.475000,0.330000,0.250000,0.805000,0.700000,0.400000,0.175000,1.050000,0.715000,0.870000,0.530000,3.060000,1.610000,1.748333
-7,0.730000,0.730000,1.040000,0.460000,0.650000,0.700000,0.550000,0.380000,0.655000,0.600000,0.480000,0.455000,0.270000,0.355000,0.235000,0.200000,0.510000,0.805000,0.480000,0.395000,0.945000,0.775000,0.655000,0.370000,1.065000,0.810000,1.410000,0.820000,1.060000,1.530000,1.095000
-6,1.570000,0.930000,1.250000,0.830000,0.720000,1.450000,1.140000,0.900000,1.325000,0.900000,1.005000,1.000000,0.840000,0.745000,0.450000,0.330000,1.450000,1.135000,0.800000,0.830000,2.065000,1.690000,1.110000,0.780000,2.275000,1.695000,1.980000,1.470000,4.780000,3.070000,3.118333
-5,1.580000,1.410000,1.730000,1.660000,1.400000,1.750000,1.460000,1.540000,1.605000,1.390000,1.620000,1.550000,1.165000,1.085000,0.735000,0.735000,1.840000,1.695000,1.745000,1.760000,2.400000,2.265000,2.035000,1.425000,2.480000,2.355000,3.150000,2.580000,2.240000,4.160000,2.181667
-4,3.010000,2.680000,2.440000,2.150000,2.780000,2.920000,3.390000,2.930000,3.060000,2.275000,2.760000,2.540000,2.165000,2.125000,1.765000,1.530000,2.880000,3.035000,2.920000,2.765000,4.400000,4.010000,3.555000,2.770000,4.485000,3.895000,4.400000,4.020000,6.660000,5.050000,5.283333
-3,4.360000,5.900000,3.920000,3.460000,4.450000,5.370000,5.280000,4.800000,4.355000,3.860000,4.490000,5.005000,5.215000,4.315000,3.605000,3.100000,4.870000,5.540000,4.840000,4.725000,5.835000,6.260000,6.050000,5.005000,6.135000,5.775000,6.400000,6.410000,4.250000,6.190000,4.463333
-2,8.630000,9.010000,8.660000,7.710000,9.430000,9.310000,9.410000,9.100000,9.115000,7.450000,9.310000,8.170000,9.505000,8.480000,8.465000,8.060000,9.070000,9.095000,8.905000,9.240000,9.710000,9.770000,10.105000,9.270000,9.610000,9.485000,9.850000,10.320000,9.910000,8.650000,9.460000
-1,14.380000,16.860000,17.270000,15.600000,18.310000,16.130000,17.990000,16.740000,16.255000,16.730000,17.645000,17.655000,18.090000,18.490000,18.500000,20.270000,15.825000,16.425000,17.110000,18.835000,14.565000,15.770000,16.790000,16.620000,13.960000,15.320000,15.220000,17.690000,5.860000,8.960000,10.736667
0,24.110000,26.060000,25.350000,25.530000,27.590000,25.720000,29.740000,27.850000,25.300000,26.355000,25.870000,27.425000,28.555000,28.475000,30.940000,32.025000,22.035000,21.780000,24.230000,23.590000,18.415000,19.210000,20.985000,22.805000,15.925000,17.200000,10.910000,11.630000,14.590000,15.390000,18.565000
