Deck_Count,Penetration,TC_Negative_Sum,TC_Zero,TC_Positive_Sum,TC_Extreme_Sum,TC_Moderate_Sum
1,0.0,42.88,17.299999999999997,39.82000000000001,12.87,87.13000000000001
1,0.5,41.56,15.39,43.04999999999999,8.15,91.85000000000001
1,0.75,42.5,14.59,42.910000000000004,15.170000000000002,84.83000000000003
2,0.0,46.8,13.04,40.16,10.97,89.03
2,1.0,44.38,11.63,43.99,2.4699999999999998,97.53
2,1.25,44.94,10.91,44.150000000000006,5.14,94.85999999999999
2,1.5,46.3,10.42,43.27999999999999,7.710000000000001,92.29000000000002
2,1.75,45.13,10.86,44.01,11.240000000000002,88.75999999999999
3,0.0,42.22,17.47,40.31,10.59,89.40999999999998
3,1.5,36.56,23.98,39.46,0.8099999999999999,99.18999999999998
3,1.75,40.870000000000005,20.990000000000002,38.13999999999999,1.41,98.59000000000002
3,2.0,37.09,20.31,42.6,2.18,97.82
3,2.25,41.99,18.02,39.99000000000001,3.9799999999999995,96.02
3,2.5,42.3,17.78,39.92,7.0600000000000005,92.94
3,2.75,41.6,16.009999999999998,42.389999999999986,9.74,90.26000000000002
4,0.0,42.1,18.21,39.68999999999999,7.629999999999999,92.37
4,2.0,36.370000000000005,25.3,38.33,0.13,99.86999999999999
4,2.25,40.769999999999996,23.95,35.279999999999994,0.53,99.47000000000001
4,2.5,43.400000000000006,20.64,35.96,1.3199999999999998,98.67999999999999
4,2.75,43.32,20.82,35.860000000000014,1.27,98.72999999999999
4,3.0,40.63,18.310000000000002,41.06,3.21,96.79
4,3.25,39.3,18.6,42.099999999999994,4.3500000000000005,95.65
4,3.5,43.400000000000006,16.56,40.039999999999985,6.02,93.98000000000002
4,3.75,41.94,17.24,40.81999999999999,7.719999999999999,92.28
6,0.0,39.98,20.91,39.11,5.69,94.31000000000002
6,3.0,38.04,28.87,33.08999999999999,0.0,100.0
6,3.25,36.739999999999995,29.86,33.39999999999999,0.02,99.98000000000002
6,3.5,34.97,27.0,38.03,0.13,99.86999999999999
6,3.75,35.33,26.83,37.84000000000001,0.49,99.50999999999999
6,4.0,35.72,27.07,37.21000000000001,0.26,99.74
6,4.25,34.66,25.319999999999997,40.02,0.49,99.51000000000002
6,4.5,37.42,25.14,37.440000000000005,1.07,98.93
6,4.75,40.21,24.84,34.95,1.9999999999999998,98.00000000000001
6,5.0,39.59,22.8,37.61000000000001,2.79,97.20999999999998
6,5.25,39.96,22.5,37.540000000000006,4.15,95.85
6,5.5,35.41,22.0,42.59,4.67,95.33
6,5.75,39.56999999999999,21.48,38.94999999999999,4.82,95.18
8,0.0,32.849999999999994,24.46,42.69,5.2,94.8
8,4.0,32.9,36.980000000000004,30.120000000000005,0.01,99.99
8,4.25,33.08,36.559999999999995,30.359999999999996,0.0,99.99999999999999
8,4.5,34.31,31.81,33.879999999999995,0.03,99.97
8,4.75,35.62,32.269999999999996,32.11,0.06999999999999999,99.92999999999999
8,5.0,34.620000000000005,32.05,33.33000000000001,0.04,99.96
8,5.25,37.129999999999995,29.24,33.629999999999995,0.1,99.9
8,5.5,33.18,30.709999999999997,36.10999999999999,0.18000000000000002,99.82000000000002
8,5.75,35.99,29.12,34.89,0.22,99.78000000000002
8,6.0,36.64999999999999,27.85,35.50000000000001,0.7799999999999999,99.22000000000001
8,6.25,39.67,29.74,30.590000000000003,0.65,99.35
8,6.5,38.540000000000006,25.72,35.74000000000001,1.41,98.58999999999999
8,6.75,38.97,27.589999999999996,33.440000000000005,1.8199999999999998,98.17999999999998
8,7.0,32.85,25.53,41.61999999999999,2.66,97.33999999999999
8,7.25,37.3,25.35,37.349999999999994,2.12,97.88000000000001
8,7.5,39.21,26.06,34.730000000000004,3.14,96.86
8,7.75,36.010000000000005,24.11,39.88,4.29,95.71
