True Count,Mean %,Std Dev,Min %,Max %,Range %
-10,0.302400,0.376994,0.000000,1.624767,1.624767
-9,0.414852,0.459659,0.000000,2.173674,2.173674
-8,0.538548,0.463933,0.000000,1.614809,1.614809
-7,0.774213,0.599232,0.006529,2.402521,2.395992
-6,1.311359,0.888347,0.060938,3.523987,3.463049
-5,1.951628,0.965728,0.248107,4.270502,4.022395
-4,3.157149,1.045920,0.856487,5.251313,4.394826
-3,5.217987,0.914071,2.896753,6.957989,4.061237
-2,8.923159,0.665130,6.345373,10.415077,4.069704
-1,15.777484,2.945701,5.774509,20.135482,14.360974
0,23.341216,5.981156,11.287554,36.637068,25.349514
1,15.785513,3.014752,5.983094,20.492731,14.509637
2,8.884509,0.641102,6.553958,10.549844,3.995886
3,5.139203,0.889366,2.944633,7.220691,4.276057
4,3.139769,1.054565,0.924959,5.435211,4.510252
5,1.920753,0.969240,0.267694,4.398057,4.130363
6,1.343443,0.933136,0.067468,3.930179,3.862711
7,0.804165,0.664791,0.017411,3.073883,3.056472
8,0.545395,0.488141,0.000000,2.048050,2.048050
9,0.415126,0.493130,0.000000,2.612801,2.612801
10,0.312130,0.422355,0.000000,2.151718,2.151718
