# GPU-Accelerated Blackjack High-Low Simulation Results
# Deck Count: 1
# Penetration: 0.5 deck penetration
"# Total Shoes: 1,000,000"
"# Total Hands: 5,010,000"
# Fixed Bet Amount: $10 per hand
# GPU Accelerated: True
# Generated: 2025-05-25 10:23:32

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,2300000,45.908184,-0.049678,-1240910.00,24979060.00
-9,10000,0.199601,-0.044132,-4810.00,108990.00
-8,0,0.000000,0.000000,0.00,0.00
-7,20000,0.399202,-0.051212,-11130.00,217330.00
-6,10000,0.199601,-0.048101,-5230.00,108730.00
-5,0,0.000000,0.000000,0.00,0.00
-4,10000,0.199601,-0.065396,-7100.00,108570.00
-3,0,0.000000,0.000000,0.00,0.00
-2,0,0.000000,0.000000,0.00,0.00
-1,20000,0.399202,-0.046486,-10080.00,216840.00
0,20000,0.399202,-0.046676,-10130.00,217030.00
1,0,0.000000,0.000000,0.00,0.00
2,20000,0.399202,-0.042583,-9260.00,217460.00
3,10000,0.199601,-0.044822,-4860.00,108430.00
4,20000,0.399202,-0.041474,-8990.00,216760.00
5,20000,0.399202,-0.041900,-9120.00,217660.00
6,30000,0.598802,-0.051446,-16740.00,325390.00
7,10000,0.199601,-0.047755,-5190.00,108680.00
8,0,0.000000,0.000000,0.00,0.00
9,20000,0.399202,-0.057545,-12520.00,217570.00
10,2490000,49.700599,-0.049109,-1329310.00,27068490.00
