# GPU-Accelerated Blackjack High-Low Simulation Results
# Deck Count: 1
# Penetration: No penetration (all cards played)
"# Total Shoes: 1,000,000"
"# Total Hands: 10,010,000"
# Fixed Bet Amount: $10 per hand
# GPU Accelerated: True
# Generated: 2025-05-25 07:18:15

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,4770000,47.652348,-0.049539,-2566330.00,51803900.00
-9,20000,0.199800,-0.042001,-9120.00,217140.00
-8,10000,0.099900,-0.059640,-6490.00,108820.00
-7,10000,0.099900,-0.039653,-4300.00,108440.00
-6,30000,0.299700,-0.059950,-19590.00,326770.00
-5,30000,0.299700,-0.055318,-18020.00,325750.00
-4,30000,0.299700,-0.056862,-18570.00,326580.00
-3,40000,0.399600,-0.051328,-22270.00,433880.00
-2,10000,0.099900,-0.043101,-4670.00,108350.00
-1,30000,0.299700,-0.055424,-18080.00,326210.00
0,20000,0.199800,-0.045826,-9970.00,217560.00
1,10000,0.099900,-0.062862,-6830.00,108650.00
2,20000,0.199800,-0.051212,-11130.00,217330.00
3,40000,0.399600,-0.047318,-20550.00,434300.00
4,30000,0.299700,-0.052047,-16960.00,325860.00
5,40000,0.399600,-0.056655,-24610.00,434380.00
6,20000,0.199800,-0.066712,-14560.00,218250.00
7,40000,0.399600,-0.051784,-22550.00,435460.00
8,10000,0.099900,-0.060235,-6550.00,108740.00
9,30000,0.299700,-0.046151,-15060.00,326320.00
10,4770000,47.652348,-0.048920,-2537350.00,51867350.00
