hand_number,shoe_number,true_count,running_count,remaining_decks,bet_amount,player_cards,dealer_up_card,dealer_hole_card,player_initial_total,dealer_initial_total,player_blackjack,dealer_blackjack,player_actions,player_final_cards,dealer_final_cards,player_final_total,dealer_final_total,outcome,profit,total_wagered
1,1,0.0,0,4.0,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: A-7-8-Q,N/A,0,0,SIT_OUT,0,0
2,1,-0.51,-2,3.92,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 6-K-6-J,N/A,0,0,SIT_OUT,0,0
3,1,-0.52,-2,3.85,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 9-8-2-10,N/A,0,0,SIT_OUT,0,0
4,1,-0.53,-2,3.77,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 7-J-9-9,N/A,0,0,SIT_OUT,0,0
5,1,-0.81,-3,3.69,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 4-K-5-5,N/A,0,0,SIT_OUT,0,0
6,1,-0.28,-1,3.62,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 8-8-5-4,N/A,0,0,SIT_OUT,0,0
7,1,0.28,1,3.54,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 7-7-4-2,N/A,0,0,SIT_OUT,0,0
8,1,0.87,3,3.46,5,8-8,3,9,16,12,False,False,SPLIT-SPLIT_SIMPLIFIED,8-8,3-9-4-8,16,24,DEALER_BUST,5,5
9,1,1.49,5,3.35,5,3-A,A,Q,14,21,False,True,LOSE_TO_DEALER_BJ,3-A,A-Q,14,21,DEALER_BLACKJACK,-5,5
10,1,0.92,3,3.27,5,K-5,K,J,15,20,False,False,SURRENDER,K-5,K-J,15,20,SURRENDER,-2.5,5
11,1,0.31,1,3.19,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 7-3-9-4,N/A,0,0,SIT_OUT,0,0
12,1,0.96,3,3.12,5,K-8,2,5,18,7,False,False,STAND,K-8,2-5-K,18,17,PLAYER_WIN,5,5
13,1,0.99,3,3.02,5,Q-2,Q,A,12,21,False,True,LOSE_TO_DEALER_BJ,Q-2,Q-A,12,21,DEALER_BLACKJACK,-5,5
14,1,0.34,1,2.94,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 10-J-3-8,N/A,0,0,SIT_OUT,0,0
15,1,0.0,0,2.87,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 10-Q-K-3,N/A,0,0,SIT_OUT,0,0
16,1,-0.72,-2,2.79,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 9-A-10-7,N/A,0,0,SIT_OUT,0,0
17,1,-1.48,-4,2.71,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 10-9-3-J,N/A,0,0,SIT_OUT,0,0
18,1,-1.9,-5,2.63,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 8-A-J-Q,N/A,0,0,SIT_OUT,0,0
19,1,-3.13,-8,2.56,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 10-Q-Q-Q,N/A,0,0,SIT_OUT,0,0
20,1,-4.84,-12,2.48,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 5-5-A-K,N/A,0,0,SIT_OUT,0,0
21,1,-4.99,-12,2.4,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 2-5-Q-4,N/A,0,0,SIT_OUT,0,0
22,1,-4.3,-10,2.33,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 3-3-J-J,N/A,0,0,SIT_OUT,0,0
23,1,-4.44,-10,2.25,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 4-7-9-2,N/A,0,0,SIT_OUT,0,0
24,1,-3.68,-8,2.17,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 10-2-4-7,N/A,0,0,SIT_OUT,0,0
25,1,-3.34,-7,2.1,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 2-J-K-3,N/A,0,0,SIT_OUT,0,0
26,1,-3.47,-7,2.02,0,SIT_OUT,N/A,N/A,0,0,False,False,SIT_OUT,BURNED: 6-5-10-2,N/A,0,0,SIT_OUT,0,0
