# Blackjack High-Low Simulation Results with Player Edge Analysis
# Deck Count: 4
# Penetration: 3.75 deck penetration
# Total Shoes: 5
# Total Hands: 60
"# Bet Spread: TC≤0 sit out, TC1=$5, TC2=$10, TC3=$15, TC4+=$25"
# Generated: 2025-05-25 22:09:58

True Count,Frequency,Percentage,Player Edge,Total Profit,Total Wagered
-10,0,0.000000,0.000000,0.00,0.00
-9,0,0.000000,0.000000,0.00,0.00
-8,0,0.000000,0.000000,0.00,0.00
-7,0,0.000000,0.000000,0.00,0.00
-6,0,0.000000,0.000000,0.00,0.00
-5,0,0.000000,0.000000,0.00,0.00
-4,0,0.000000,0.000000,0.00,0.00
-3,0,0.000000,0.000000,0.00,0.00
-2,0,0.000000,0.000000,0.00,0.00
-1,0,0.000000,0.000000,0.00,0.00
0,0,0.000000,0.000000,0.00,0.00
1,19,31.666667,0.075000,7.50,100.00
2,13,21.666667,0.115385,15.00,130.00
3,7,11.666667,0.375000,45.00,120.00
4,3,5.000000,0.000000,0.00,75.00
5,5,8.333333,0.750000,112.50,150.00
6,5,8.333333,-0.300000,-37.50,125.00
7,4,6.666667,0.600000,75.00,125.00
8,1,1.666667,-1.000000,-25.00,25.00
9,3,5.000000,0.833333,62.50,75.00
10,0,0.000000,0.000000,0.00,0.00
